#A,B,Weight
8060,11116,1
8060,19318,1
4235,9820,1074
4235,3014,486
4235,11116,1
4235,19318,1
9820,11116,1
9820,19318,1
9820,1784,1272
4416,11116,1
4416,19318,1
5029,11116,1
5029,19318,1
3014,11116,1
3014,19318,1
11116,19318,1
11116,1784,1
19318,1784,1
19336,6894,1
5620,4096,16
5620,6184,6
5620,6894,1
1784,6894,1
19161,6894,1
4096,2768,50
4096,11434,1
4096,6184,2
4096,871,1
4096,6894,1
2768,8153,1
2768,11434,1
2768,6184,1
2768,10334,5
2768,6894,1
14181,11434,1
14181,6184,2
14181,871,3
14181,10334,8
14181,110,3
14181,6894,1
16215,8153,3
16215,871,10
16215,6894,1
4235,6894,1
18237,8153,3
18237,6184,2
18237,110,4
18237,6894,1
8153,6184,1
8153,6894,1
11434,6184,1
11434,871,1
11434,10334,2
11434,110,1
11434,6894,1
6184,871,1
6184,10334,1
6184,6894,1
871,110,1
871,6894,1
10334,6894,1
110,6894,1
13169,3555,2
13169,437,5
13169,7199,1
13169,12592,1
13169,6351,1
13169,7180,1
13169,9002,1
13169,1972,1
13169,17458,1
13169,3092,1
17585,3555,2
17585,437,1
17585,7199,1
17585,12592,1
17585,6351,1
17585,7180,1
17585,9002,1
17585,1972,1
17585,17458,1
17585,3092,1
2297,7199,1
2297,12592,1
2297,6351,1
2297,7180,1
2297,9002,1
2297,1972,1
2297,17458,1
2297,3092,1
10211,7199,1
10211,12592,1
10211,6351,1
10211,7180,1
10211,9002,1
10211,1972,1
10211,17458,1
10211,3092,1
13728,7199,1
13728,12592,1
13728,6351,1
13728,7180,1
13728,9002,1
13728,1972,1
13728,17458,1
13728,3092,1
3555,7199,1
3555,12592,1
3555,6351,1
3555,7180,1
3555,9002,1
3555,1972,1
3555,17458,1
3555,3092,1
437,7199,1
437,12592,1
437,6351,1
437,7180,1
437,9002,1
437,1972,1
437,17458,1
437,3092,1
7199,12592,1
7199,6351,1
7199,7180,1
7199,9002,1
7199,1972,1
7199,17458,1
7199,3092,1
12592,6351,1
12592,7180,1
12592,9002,1
12592,1972,1
12592,17458,1
12592,3092,1
6351,7180,1
6351,9002,1
6351,1972,1
6351,17458,1
6351,3092,1
7180,9002,1
7180,1972,1
7180,17458,1
7180,3092,1
9002,1972,1
9002,17458,1
9002,3092,1
1972,17458,1
1972,3092,1
17458,3092,1
7518,8012,1
8012,5255,3
5221,19189,1
5221,996,1
5221,12993,1
19189,824,1
19189,996,1
19189,12993,1
824,996,1
824,12993,1
996,12993,1
12983,9666,250
5255,9934,1
1784,8982,219
1784,5255,88
3014,8982,155
3014,5255,32
9820,8982,220
